,Name,Address,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,Explanation,Min_Price($),Max_Price($)
6191,Insens,"10 rue de Lodi, Saint-Etienne, 42000, France",Saint-Etienne,22.0,68.0,EUR,Modern Cuisine,4.38869,45.440968,33477323434,https://guide.michelin.com/en/auvergne-rhone-alpes/saint-tienne/restaurant/insens,https://www.insens-restaurant.fr/,Bib Gourmand,Good food at moderate prices,26.026,80.444
6192,L'Esberit,"34 Boulevard du Commandant-René-Mouchotte, Bizanos, 64320, France",Bizanos,25.0,64.0,EUR,Modern Cuisine,-0.3185549,43.3023651,33983975858,https://guide.michelin.com/en/nouvelle-aquitaine/bizanos/restaurant/lou-esberit,https://www.restaurant-louesberit.com/,Bib Gourmand,Good food at moderate prices,29.575000000000003,75.712
6193,Zorn - La Petite Auberge,"45 boulevard Pierre-Brossolette, Laon, 02000, France",Laon,36.0,61.0,EUR,Modern Cuisine,3.621604,49.5691414,33323230238,https://guide.michelin.com/en/hauts-de-france/laon/restaurant/zorn-la-petite-auberge,https://www.zorn-lapetiteauberge.com/,Bib Gourmand,Good food at moderate prices,42.588,72.163
6194,Le 62,"62 rue Fontgiève, Clermont-Ferrand, 63000, France",Clermont-Ferrand,18.0,47.0,EUR,Modern Cuisine,3.077339,45.7808357,33473361849,https://guide.michelin.com/en/auvergne-rhone-alpes/clermont-ferrand/restaurant/le-62,https://www.restaurantle62.com/,Bib Gourmand,Good food at moderate prices,21.294,55.601
6195,Café de la Fontaine,"4 avenue du Général-de-Gaulle, La Turbie, 06320, France",La Turbie,45.0,45.0,EUR,"Traditional Cuisine, Provençal",7.4002839,43.7455777,33493285279,https://guide.michelin.com/en/provence-alpes-cote-dazur/la-turbie/restaurant/cafe-de-la-fontaine,https://www.hostellerie-jerome.com/,Bib Gourmand,Good food at moderate prices,53.235,53.235
6196,La Tête au Loup,"Lieu-Dit la Tête au Loup, Le Pin-au-Haras, 61310, France",Le Pin-au-Haras,32.0,49.0,EUR,Traditional Cuisine,0.1581694,48.7390573,33233355769,https://guide.michelin.com/en/normandie/le-pin-au-haras/restaurant/la-tete-au-loup,http://www.lateteauloup.fr/,Bib Gourmand,Good food at moderate prices,37.856,57.967000000000006
6197,L'Éden,"7 rue Henri-Fouchard, Houlgate, 14510, France",Houlgate,29.0,85.0,EUR,"Modern Cuisine, Traditional Cuisine",-0.0776368,49.3023239,33231248437,https://guide.michelin.com/en/normandie/houlgate/restaurant/l-eden,https://www.eden-houlgate.com/,Bib Gourmand,Good food at moderate prices,34.307,100.555
6198,La Part des Anges,"5 Boulevard Raymond Vittoz, Castres, 81100, France",Castres,21.0,54.0,EUR,Modern Cuisine,2.244465,43.6038911,33563516525,https://guide.michelin.com/en/occitanie/castres/restaurant/la-part-des-anges454760,http://www.lapartdesangescastres.fr,Bib Gourmand,Good food at moderate prices,24.843,63.882000000000005
6199,Les Résistants,"16 rue du Château-d'Eau, Paris, 75010, France",Paris,19.0,45.0,EUR,Modern Cuisine,2.3607033,48.8699714,33177327761,https://guide.michelin.com/en/ile-de-france/paris/restaurant/les-resistants,https://www.lesresistants.fr/,Bib Gourmand,Good food at moderate prices,22.477,53.235
6200,Le Canut et les Gones,"29 rue Belfort, Lyon, 69004, France",Lyon,24.0,35.0,EUR,Modern Cuisine,4.8346198,45.7785703,33478291723,https://guide.michelin.com/en/auvergne-rhone-alpes/lyon/restaurant/le-canut-et-les-gones,https://www.lecanutetlesgones.com/,Bib Gourmand,Good food at moderate prices,28.392000000000003,41.405
6201,Lou Pinatou,"Le Bourg, Solignac-sous-Roche, 43130, France",Solignac-sous-Roche,32.0,54.0,EUR,Modern Cuisine,3.9982197,45.2511,33471652154,https://guide.michelin.com/en/auvergne-rhone-alpes/solignac-sous-roche/restaurant/lou-pinatou,https://www.auberge-loupinatou.fr/,Bib Gourmand,Good food at moderate prices,37.856,63.882000000000005
6203,PY,"16 cours Vitton, Lyon, 69006, France",Lyon,25.0,35.0,EUR,Modern Cuisine,4.851688,45.7693113,33478527130,https://guide.michelin.com/en/auvergne-rhone-alpes/lyon/restaurant/py,https://www.pyrestaurant.fr/,Bib Gourmand,Good food at moderate prices,29.575000000000003,41.405
6204,Au Plaisir Ambré,"26 Grande-Rue, Briançon, 05100, France",Briançon,36.0,60.0,EUR,Modern Cuisine,6.6435838,44.8999664,33492526346,https://guide.michelin.com/en/provence-alpes-cote-dazur/brianon/restaurant/au-plaisir-ambre,https://www.auplaisirambre.com/,Bib Gourmand,Good food at moderate prices,42.588,70.98
6205,Le Toi du Monde,"Chemin des Zorgières, Flumet, 73590, France",Flumet,35.0,58.0,EUR,Modern Cuisine,6.5506767,45.8321663,33479106353,https://guide.michelin.com/en/auvergne-rhone-alpes/flumet/restaurant/le-toi-du-monde,https://www.letoidumonde.com/,Bib Gourmand,Good food at moderate prices,41.405,68.614
